Player,Home,Away,Date,Team,Type,Minute
Sadio Mané,Chelsea,Southampton,2015-03-15,Southampton,Yellow_Card,29
Steven Davis,Chelsea,Southampton,2015-03-15,Southampton,Substitution_Off,71
Dusan Tadic,Chelsea,Southampton,2015-03-15,Southampton,Goal,19
Dusan Tadic,Chelsea,Southampton,2015-03-15,Southampton,Substitution_Off,71
Shane Long,Chelsea,Southampton,2015-03-15,Southampton,Substitution_Off,83
Filip Djuricic,Chelsea,Southampton,2015-03-15,Southampton,Yellow_Card,82
Filip Djuricic,Chelsea,Southampton,2015-03-15,Southampton,Substitution_On,71
James Ward-Prowse,Chelsea,Southampton,2015-03-15,Southampton,Substitution_On,71
Graziano Pellè,Chelsea,Southampton,2015-03-15,Southampton,Substitution_On,83
Aaron Lennon,Everton,Newcastle United,2015-03-15,Everton,Substitution_Off,85
Aaron Lennon,Everton,Newcastle United,2015-03-15,Everton,Yellow_Card,79
James McCarthy,Everton,Newcastle United,2015-03-15,Everton,Goal,20
James McCarthy,Everton,Newcastle United,2015-03-15,Everton,Substitution_Off,86
Romelu Lukaku,Everton,Newcastle United,2015-03-15,Everton,Goal,56
Romelu Lukaku,Everton,Newcastle United,2015-03-15,Everton,Substitution_Off,74
Muhamed Besic,Everton,Newcastle United,2015-03-15,Everton,Substitution_On,86
Christian Atsu,Everton,Newcastle United,2015-03-15,Everton,Substitution_On,85
Ross Barkley,Everton,Newcastle United,2015-03-15,Everton,Goal,90
Ross Barkley,Everton,Newcastle United,2015-03-15,Everton,Substitution_On,74
Fabricio Coloccini,Everton,Newcastle United,2015-03-15,Newcastle United,Red_Card,59
Ryan Taylor,Everton,Newcastle United,2015-03-15,Newcastle United,Yellow_Card,29
Moussa Sissoko,Everton,Newcastle United,2015-03-15,Newcastle United,Yellow_Card,55
Gabriel Obertan,Everton,Newcastle United,2015-03-15,Newcastle United,Substitution_Off,45
Sammy Ameobi,Everton,Newcastle United,2015-03-15,Newcastle United,Substitution_Off,58
Emmanuel Riviere,Everton,Newcastle United,2015-03-15,Newcastle United,Substitution_Off,62
Ayoze Pérez,Everton,Newcastle United,2015-03-15,Newcastle United,Substitution_On,45
Jonás Gutiérrez,Everton,Newcastle United,2015-03-15,Newcastle United,Substitution_On,62
Rémy Cabella,Everton,Newcastle United,2015-03-15,Newcastle United,Substitution_On,58
Michael Carrick,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Goal,19
Michael Carrick,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Substitution_Off,87
Juan Mata,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Substitution_Off,77
Juan Mata,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Yellow_Card,32
Marouane Fellaini,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Goal,9
Marouane Fellaini,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Substitution_Off,83
Wayne Rooney,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Goal,34
Rafael,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Substitution_On,87
Falcao,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Substitution_On,83
Andreas Pereira,Manchester United,Tottenham Hotspur,2015-03-15,Manchester United,Substitution_On,77
Danny Rose,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Yellow_Card,72
Ryan Mason,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Substitution_Off,64
Andros Townsend,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Substitution_Off,31
Nacer Chadli,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Substitution_Off,79
Emmanuel Adebayor,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Substitution_On,79
Erik Lamela,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Substitution_On,64
Mousa Dembélé,Manchester United,Tottenham Hotspur,2015-03-15,Tottenham Hotspur,Substitution_On,31
Joel Ward,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Goal,42
Jason Puncheon,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Substitution_Off,56
James McArthur,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Goal,40
Wilfried Zaha,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Goal,21
Wilfried Zaha,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Substitution_Off,57
Glenn Murray,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Substitution_Off,80
Glenn Murray,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Yellow_Card,59
Adrian Mariappa,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Substitution_On,57
Yaya Sanogo,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Substitution_On,80
Dwight Gayle,Crystal Palace,Queens Park Rangers,2015-03-14,Crystal Palace,Substitution_On,56
Darnell Furlong,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Substitution_Off,45
Nedum Onuoha,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Yellow_Card,76
Shaun Wright-Phillips,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Substitution_Off,85
Karl Henry,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Yellow_Card,30
Sandro,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Substitution_Off,84
Sandro,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Yellow_Card,53
Matt Phillips,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Goal,83
Clint Hill,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Substitution_On,45
Niko Kranjcar,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Substitution_On,84
Reece Grego-Cox,Crystal Palace,Queens Park Rangers,2015-03-14,Queens Park Rangers,Substitution_On,85
Aaron Ramsey,Arsenal,West Ham United,2015-03-14,Arsenal,Goal,81
Theo Walcott,Arsenal,West Ham United,2015-03-14,Arsenal,Substitution_Off,72
Mesut Özil,Arsenal,West Ham United,2015-03-14,Arsenal,Substitution_Off,83
Alexis Sánchez,Arsenal,West Ham United,2015-03-14,Arsenal,Substitution_Off,65
Alexis Sánchez,Arsenal,West Ham United,2015-03-14,Arsenal,Yellow_Card,36
Olivier Giroud,Arsenal,West Ham United,2015-03-14,Arsenal,Goal,45
Santi Cazorla,Arsenal,West Ham United,2015-03-14,Arsenal,Substitution_On,72
Mathieu Flamini,Arsenal,West Ham United,2015-03-14,Arsenal,Goal,84
Mathieu Flamini,Arsenal,West Ham United,2015-03-14,Arsenal,Substitution_On,83
Danny Welbeck,Arsenal,West Ham United,2015-03-14,Arsenal,Substitution_On,65
Mark Noble,Arsenal,West Ham United,2015-03-14,West Ham United,Substitution_Off,82
Matthew Jarvis,Arsenal,West Ham United,2015-03-14,West Ham United,Substitution_Off,75
Diafra Sakho,Arsenal,West Ham United,2015-03-14,West Ham United,Yellow_Card,78
Nene,Arsenal,West Ham United,2015-03-14,West Ham United,Substitution_On,82
Morgan Amalfitano,Arsenal,West Ham United,2015-03-14,West Ham United,Substitution_On,75
Ritchie de Laet,Leicester City,Hull City,2015-03-14,Leicester City,Substitution_Off,76
Wes Morgan,Leicester City,Hull City,2015-03-14,Leicester City,Substitution_Off,84
Andrej Kramaric,Leicester City,Hull City,2015-03-14,Leicester City,Substitution_Off,61
Tom Lawrence,Leicester City,Hull City,2015-03-14,Leicester City,Substitution_On,76
Leonardo Ulloa,Leicester City,Hull City,2015-03-14,Leicester City,Substitution_On,61
David Nugent,Leicester City,Hull City,2015-03-14,Leicester City,Substitution_On,84
Michael Dawson,Leicester City,Hull City,2015-03-14,Hull City,Yellow_Card,66
Alex Bruce,Leicester City,Hull City,2015-03-14,Hull City,Yellow_Card,68
Tom Huddlestone,Leicester City,Hull City,2015-03-14,Hull City,Yellow_Card,14
Tom Huddlestone,Leicester City,Hull City,2015-03-14,Hull City,Red_Card,72
Gaston Ramirez,Leicester City,Hull City,2015-03-14,Hull City,Substitution_Off,85
Andrew Robertson,Leicester City,Hull City,2015-03-14,Hull City,Substitution_Off,79
Andrew Robertson,Leicester City,Hull City,2015-03-14,Hull City,Yellow_Card,45
Dame N'Doye,Leicester City,Hull City,2015-03-14,Hull City,Yellow_Card,85
Nikica Jelavic,Leicester City,Hull City,2015-03-14,Hull City,Substitution_Off,78
David Meyler,Leicester City,Hull City,2015-03-14,Hull City,Substitution_On,79
Abel Hernandez,Leicester City,Hull City,2015-03-14,Hull City,Substitution_On,85
Stephen Quinn,Leicester City,Hull City,2015-03-14,Hull City,Substitution_On,78
Liam Bridcutt,Sunderland,Aston Villa,2015-03-14,Sunderland,Yellow_Card,90
Ricky Álvarez,Sunderland,Aston Villa,2015-03-14,Sunderland,Substitution_Off,45
Steven Fletcher,Sunderland,Aston Villa,2015-03-14,Sunderland,Substitution_Off,83
Connor Wickham,Sunderland,Aston Villa,2015-03-14,Sunderland,Substitution_On,45
Danny Graham,Sunderland,Aston Villa,2015-03-14,Sunderland,Substitution_On,83
Leandro Bacuna,Sunderland,Aston Villa,2015-03-14,Aston Villa,Yellow_Card,8
Ciaran Clark,Sunderland,Aston Villa,2015-03-14,Aston Villa,Substitution_Off,64
Charles N'Zogbia,Sunderland,Aston Villa,2015-03-14,Aston Villa,Substitution_Off,79
Gabriel Agbonlahor,Sunderland,Aston Villa,2015-03-14,Aston Villa,Goal,18
Gabriel Agbonlahor,Sunderland,Aston Villa,2015-03-14,Aston Villa,Goal,37
Christian Benteke,Sunderland,Aston Villa,2015-03-14,Aston Villa,Goal,16
Christian Benteke,Sunderland,Aston Villa,2015-03-14,Aston Villa,Goal,44
Christian Benteke,Sunderland,Aston Villa,2015-03-14,Aston Villa,Substitution_Off,83
Andreas Weimann,Sunderland,Aston Villa,2015-03-14,Aston Villa,Substitution_On,79
Carlos Sánchez,Sunderland,Aston Villa,2015-03-14,Aston Villa,Substitution_On,64
Rushian Hepburn-Murphy,Sunderland,Aston Villa,2015-03-14,Aston Villa,Substitution_On,83
Ben Foster,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Substitution_Off,56
Saido Berahino,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Substitution_Off,90
Brown Ideye,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Goal,19
Brown Ideye,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Substitution_Off,90
Jonas Olsson,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Substitution_On,90
Chris Baird,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Substitution_On,90
Boaz Myhill,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Yellow_Card,90
Boaz Myhill,West Bromwich Albion,Stoke City,2015-03-14,West Bromwich Albion,Substitution_On,56
Marc Wilson,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Yellow_Card,53
Erik Pieters,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Substitution_Off,45
Jon Walters,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Substitution_Off,68
Victor Moses,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Substitution_Off,58
Marko Arnautovic,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Substitution_On,58
Mame Biram Diouf,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Yellow_Card,74
Mame Biram Diouf,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Substitution_On,68
Geoff Cameron,West Bromwich Albion,Stoke City,2015-03-14,Stoke City,Substitution_On,45
Michael Duff,Burnley,Manchester City,2015-03-14,Burnley,Yellow_Card,71
Ben Mee,Burnley,Manchester City,2015-03-14,Burnley,Yellow_Card,58
George Boyd,Burnley,Manchester City,2015-03-14,Burnley,Goal,61
Sam Vokes,Burnley,Manchester City,2015-03-14,Burnley,Substitution_Off,87
Danny Ings,Burnley,Manchester City,2015-03-14,Burnley,Substitution_Off,90
Steven Reid,Burnley,Manchester City,2015-03-14,Burnley,Substitution_On,90
Stephen Ward,Burnley,Manchester City,2015-03-14,Burnley,Substitution_On,87
Martín Demichelis,Burnley,Manchester City,2015-03-14,Manchester City,Yellow_Card,60
Yaya Touré,Burnley,Manchester City,2015-03-14,Manchester City,Substitution_Off,81
David Silva,Burnley,Manchester City,2015-03-14,Manchester City,Substitution_Off,74
Edin Dzeko,Burnley,Manchester City,2015-03-14,Manchester City,Substitution_Off,63
Wilfried Bony,Burnley,Manchester City,2015-03-14,Manchester City,Substitution_On,63
Frank Lampard,Burnley,Manchester City,2015-03-14,Manchester City,Substitution_On,81
Stevan Jovetic,Burnley,Manchester City,2015-03-14,Manchester City,Substitution_On,74
Mauricio Isla,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Substitution_Off,71
Karl Henry,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Substitution_Off,88
Karl Henry,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Yellow_Card,60
Sandro,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Goal,75
Sandro,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Substitution_Off,90
Shaun Wright-Phillips,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Substitution_On,90
Junior Hoilett,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Substitution_On,71
Reece Grego-Cox,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Queens Park Rangers,Substitution_On,88
Ryan Mason,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Yellow_Card,80
Nabil Bentaleb,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Yellow_Card,62
Andros Townsend,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Substitution_Off,65
Christian Eriksen,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Substitution_Off,88
Nacer Chadli,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Substitution_Off,79
Harry Kane,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Goal,34
Harry Kane,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Goal,68
Erik Lamela,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Substitution_On,79
Mousa Dembélé,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Substitution_On,65
Benjamin Stambouli,Queens Park Rangers,Tottenham Hotspur,2015-03-07,Tottenham Hotspur,Substitution_On,88
David Silva,Manchester City,Leicester City,2015-03-04,Manchester City,Goal,45
David Silva,Manchester City,Leicester City,2015-03-04,Manchester City,Substitution_Off,79
Wilfried Bony,Manchester City,Leicester City,2015-03-04,Manchester City,Substitution_Off,72
Sergio Agüero,Manchester City,Leicester City,2015-03-04,Manchester City,Substitution_Off,85
James Milner,Manchester City,Leicester City,2015-03-04,Manchester City,Goal,88
James Milner,Manchester City,Leicester City,2015-03-04,Manchester City,Substitution_On,72
Edin Dzeko,Manchester City,Leicester City,2015-03-04,Manchester City,Substitution_On,85
Frank Lampard,Manchester City,Leicester City,2015-03-04,Manchester City,Substitution_On,79
Paul Konchesky,Manchester City,Leicester City,2015-03-04,Leicester City,Substitution_Off,57
Paul Konchesky,Manchester City,Leicester City,2015-03-04,Leicester City,Yellow_Card,36
Riyad Mahrez,Manchester City,Leicester City,2015-03-04,Leicester City,Substitution_Off,77
Andrej Kramaric,Manchester City,Leicester City,2015-03-04,Leicester City,Substitution_Off,58
Jamie Vardy,Manchester City,Leicester City,2015-03-04,Leicester City,Substitution_On,58
Leonardo Ulloa,Manchester City,Leicester City,2015-03-04,Leicester City,Substitution_On,77
David Nugent,Manchester City,Leicester City,2015-03-04,Leicester City,Substitution_On,57
Ryan Taylor,Newcastle United,Manchester United,2015-03-04,Newcastle United,Substitution_Off,65
Sammy Ameobi,Newcastle United,Manchester United,2015-03-04,Newcastle United,Substitution_Off,81
Emmanuel Riviere,Newcastle United,Manchester United,2015-03-04,Newcastle United,Substitution_Off,59
Yoan Gouffran,Newcastle United,Manchester United,2015-03-04,Newcastle United,Substitution_On,81
Ayoze Pérez,Newcastle United,Manchester United,2015-03-04,Newcastle United,Substitution_On,59
Jonás Gutiérrez,Newcastle United,Manchester United,2015-03-04,Newcastle United,Yellow_Card,67
Jonás Gutiérrez,Newcastle United,Manchester United,2015-03-04,Newcastle United,Substitution_On,65
Antonio Valencia,Newcastle United,Manchester United,2015-03-04,Manchester United,Yellow_Card,84
Marcos Rojo,Newcastle United,Manchester United,2015-03-04,Manchester United,Substitution_Off,89
Marcos Rojo,Newcastle United,Manchester United,2015-03-04,Manchester United,Yellow_Card,60
Ángel di María,Newcastle United,Manchester United,2015-03-04,Manchester United,Substitution_Off,59
Marouane Fellaini,Newcastle United,Manchester United,2015-03-04,Manchester United,Substitution_Off,82
Ashley Young,Newcastle United,Manchester United,2015-03-04,Manchester United,Goal,89
Juan Mata,Newcastle United,Manchester United,2015-03-04,Manchester United,Substitution_On,82
Adnan Januzaj,Newcastle United,Manchester United,2015-03-04,Manchester United,Substitution_On,59
Michael Carrick,Newcastle United,Manchester United,2015-03-04,Manchester United,Substitution_On,89
Nedum Onuoha,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Substitution_Off,45
Suk-Young Yun,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Yellow_Card,80
Karl Henry,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Yellow_Card,32
Sandro,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Substitution_Off,56
Junior Hoilett,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Substitution_Off,73
Charlie Austin,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Goal,82
Clint Hill,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Substitution_On,45
Mauricio Isla,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Substitution_On,73
Niko Kranjcar,Queens Park Rangers,Arsenal,2015-03-04,Queens Park Rangers,Substitution_On,56
Hector Bellerin,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Yellow_Card,34
Gabriel Paulista,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Substitution_Off,37
Tomas Rosicky,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Substitution_Off,87
Mesut Özil,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Substitution_Off,90
Olivier Giroud,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Goal,64
Alexis Sánchez,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Goal,69
Laurent Koscielny,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Substitution_On,37
Aaron Ramsey,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Substitution_On,87
Danny Welbeck,Queens Park Rangers,Arsenal,2015-03-04,Arsenal,Substitution_On,90
Asmir Begovic,Stoke City,Everton,2015-03-04,Stoke City,Yellow_Card,89
Philipp Wollscheid,Stoke City,Everton,2015-03-04,Stoke City,Substitution_Off,17
Jon Walters,Stoke City,Everton,2015-03-04,Stoke City,Yellow_Card,90
Charlie Adam,Stoke City,Everton,2015-03-04,Stoke City,Substitution_Off,74
Victor Moses,Stoke City,Everton,2015-03-04,Stoke City,Goal,32
Peter Crouch,Stoke City,Everton,2015-03-04,Stoke City,Substitution_Off,64
Marko Arnautovic,Stoke City,Everton,2015-03-04,Stoke City,Substitution_On,74
Mame Biram Diouf,Stoke City,Everton,2015-03-04,Stoke City,Goal,84
Mame Biram Diouf,Stoke City,Everton,2015-03-04,Stoke City,Substitution_On,64
Geoff Cameron,Stoke City,Everton,2015-03-04,Stoke City,Substitution_On,17
Gareth Barry,Stoke City,Everton,2015-03-04,Everton,Substitution_Off,60
Gareth Barry,Stoke City,Everton,2015-03-04,Everton,Yellow_Card,14
Aaron Lennon,Stoke City,Everton,2015-03-04,Everton,Substitution_Off,60
Steven Naismith,Stoke City,Everton,2015-03-04,Everton,Substitution_Off,83
Steven Naismith,Stoke City,Everton,2015-03-04,Everton,Yellow_Card,52
Arouna Kone,Stoke City,Everton,2015-03-04,Everton,Substitution_On,60
Kevin Mirallas,Stoke City,Everton,2015-03-04,Everton,Substitution_On,83
Leon Osman,Stoke City,Everton,2015-03-04,Everton,Substitution_On,60
Eric Dier,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Yellow_Card,62
Danny Rose,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Substitution_Off,78
Ryan Mason,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Goal,51
Andros Townsend,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Goal,60
Andros Townsend,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Substitution_Off,64
Nacer Chadli,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Goal,7
Harry Kane,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Substitution_Off,76
Roberto Soldado,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Substitution_On,76
Mousa Dembélé,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Substitution_On,64
Ben Davies,Tottenham Hotspur,Swansea City,2015-03-04,Tottenham Hotspur,Substitution_On,78
Sung-Yueng Ki,Tottenham Hotspur,Swansea City,2015-03-04,Swansea City,Goal,19
Jonjo Shelvey,Tottenham Hotspur,Swansea City,2015-03-04,Swansea City,Substitution_Off,73
Gylfi Sigurdsson,Tottenham Hotspur,Swansea City,2015-03-04,Swansea City,Goal,89
Bafétimbi Gomis,Tottenham Hotspur,Swansea City,2015-03-04,Swansea City,Substitution_Off,12
Nélson Oliveira,Tottenham Hotspur,Swansea City,2015-03-04,Swansea City,Substitution_On,12
Jefferson Montero,Tottenham Hotspur,Swansea City,2015-03-04,Swansea City,Substitution_On,73
Winston Reid,West Ham United,Chelsea,2015-03-04,West Ham United,Substitution_Off,8
Cheikhou Kouyaté,West Ham United,Chelsea,2015-03-04,West Ham United,Substitution_Off,87
Cheikhou Kouyaté,West Ham United,Chelsea,2015-03-04,West Ham United,Yellow_Card,13
Kevin Nolan,West Ham United,Chelsea,2015-03-04,West Ham United,Yellow_Card,67
Nene,West Ham United,Chelsea,2015-03-04,West Ham United,Substitution_On,87
James Collins,West Ham United,Chelsea,2015-03-04,West Ham United,Yellow_Card,43
James Collins,West Ham United,Chelsea,2015-03-04,West Ham United,Substitution_On,8
John Terry,West Ham United,Chelsea,2015-03-04,Chelsea,Yellow_Card,15
Cesc Fàbregas,West Ham United,Chelsea,2015-03-04,Chelsea,Yellow_Card,70
Oscar,West Ham United,Chelsea,2015-03-04,Chelsea,Substitution_Off,74
Eden Hazard,West Ham United,Chelsea,2015-03-04,Chelsea,Goal,22
Eden Hazard,West Ham United,Chelsea,2015-03-04,Chelsea,Substitution_Off,90
Eden Hazard,West Ham United,Chelsea,2015-03-04,Chelsea,Yellow_Card,45
Diego Costa,West Ham United,Chelsea,2015-03-04,Chelsea,Substitution_Off,90
Didier Drogba,West Ham United,Chelsea,2015-03-04,Chelsea,Yellow_Card,90
Didier Drogba,West Ham United,Chelsea,2015-03-04,Chelsea,Substitution_On,90
Loïc Remy,West Ham United,Chelsea,2015-03-04,Chelsea,Substitution_On,90
Willian,West Ham United,Chelsea,2015-03-04,Chelsea,Substitution_On,74
Raheem Sterling,Liverpool,Burnley,2015-03-04,Liverpool,Substitution_Off,90
Jordan Henderson,Liverpool,Burnley,2015-03-04,Liverpool,Goal,29
Alberto Moreno,Liverpool,Burnley,2015-03-04,Liverpool,Substitution_Off,73
Daniel Sturridge,Liverpool,Burnley,2015-03-04,Liverpool,Goal,51
Daniel Sturridge,Liverpool,Burnley,2015-03-04,Liverpool,Substitution_Off,83
Glen Johnson,Liverpool,Burnley,2015-03-04,Liverpool,Substitution_On,83
Kolo Touré,Liverpool,Burnley,2015-03-04,Liverpool,Substitution_On,73
Rickie Lambert,Liverpool,Burnley,2015-03-04,Liverpool,Substitution_On,90
Ben Mee,Liverpool,Burnley,2015-03-04,Burnley,Yellow_Card,85
Michael Kightly,Liverpool,Burnley,2015-03-04,Burnley,Substitution_Off,52
Ashley Barnes,Liverpool,Burnley,2015-03-04,Burnley,Substitution_Off,66
Danny Ings,Liverpool,Burnley,2015-03-04,Burnley,Substitution_Off,90
Ross Wallace,Liverpool,Burnley,2015-03-04,Burnley,Substitution_On,52
Sam Vokes,Liverpool,Burnley,2015-03-04,Burnley,Substitution_On,66
Lukas Jutkiewicz,Liverpool,Burnley,2015-03-04,Burnley,Substitution_On,90
Alan Hutton,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Yellow_Card,88
Ciaran Clark,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Yellow_Card,81
Tom Cleverley,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Substitution_Off,77
Charles N'Zogbia,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Substitution_Off,59
Gabriel Agbonlahor,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Goal,22
Gabriel Agbonlahor,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Substitution_Off,82
Christian Benteke,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Goal,90
Leandro Bacuna,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Substitution_On,77
Andreas Weimann,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Substitution_On,82
Jack Grealish,Aston Villa,West Bromwich Albion,2015-03-03,Aston Villa,Substitution_On,59
Joleon Lescott,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Yellow_Card,52
Claudio Yacob,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Yellow_Card,42
James Morrison,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Substitution_Off,90
Saido Berahino,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Goal,66
Saido Berahino,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Yellow_Card,88
Craig Gardner,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Yellow_Card,86
Chris Baird,Aston Villa,West Bromwich Albion,2015-03-03,West Bromwich Albion,Substitution_On,90
Paul McShane,Hull City,Sunderland,2015-03-03,Hull City,Yellow_Card,41
Andrew Robertson,Hull City,Sunderland,2015-03-03,Hull City,Yellow_Card,79
Dame N'Doye,Hull City,Sunderland,2015-03-03,Hull City,Goal,15
Nikica Jelavic,Hull City,Sunderland,2015-03-03,Hull City,Substitution_Off,73
Abel Hernandez,Hull City,Sunderland,2015-03-03,Hull City,Substitution_On,73
Santiago Vergini,Hull City,Sunderland,2015-03-03,Sunderland,Substitution_Off,73
Wes Brown,Hull City,Sunderland,2015-03-03,Sunderland,Yellow_Card,12
Lee Cattermole,Hull City,Sunderland,2015-03-03,Sunderland,Substitution_Off,62
Lee Cattermole,Hull City,Sunderland,2015-03-03,Sunderland,Yellow_Card,60
Sebastian Larsson,Hull City,Sunderland,2015-03-03,Sunderland,Yellow_Card,79
Liam Bridcutt,Hull City,Sunderland,2015-03-03,Sunderland,Yellow_Card,46
